date,hour,systemMarginalPrice
2026-03-28T04:00:00+03:00,2026-03-28T04:00:00+03:00,0.0
2026-03-28T05:00:00+03:00,2026-03-28T05:00:00+03:00,0.0
2026-03-28T06:00:00+03:00,2026-03-28T06:00:00+03:00,0.0
2026-03-28T07:00:00+03:00,2026-03-28T07:00:00+03:00,0.0
2026-03-28T08:00:00+03:00,2026-03-28T08:00:00+03:00,0.0
2026-03-28T09:00:00+03:00,2026-03-28T09:00:00+03:00,1900.0
2026-03-28T10:00:00+03:00,2026-03-28T10:00:00+03:00,2047.74
2026-03-28T11:00:00+03:00,2026-03-28T11:00:00+03:00,2500.0
2026-03-28T12:00:00+03:00,2026-03-28T12:00:00+03:00,2047.74
2026-03-28T13:00:00+03:00,2026-03-28T13:00:00+03:00,1990.0
2026-03-28T14:00:00+03:00,2026-03-28T14:00:00+03:00,1800.0
2026-03-28T15:00:00+03:00,2026-03-28T15:00:00+03:00,0.0
2026-03-28T16:00:00+03:00,2026-03-28T16:00:00+03:00,0.0
2026-03-28T17:00:00+03:00,2026-03-28T17:00:00+03:00,500.0
2026-03-28T18:00:00+03:00,2026-03-28T18:00:00+03:00,700.0
2026-03-28T19:00:00+03:00,2026-03-28T19:00:00+03:00,3400.0
2026-03-28T20:00:00+03:00,2026-03-28T20:00:00+03:00,3400.0
2026-03-28T21:00:00+03:00,2026-03-28T21:00:00+03:00,3220.0
2026-03-28T22:00:00+03:00,2026-03-28T22:00:00+03:00,2850.0
2026-03-28T23:00:00+03:00,2026-03-28T23:00:00+03:00,1990.0
